doc_id,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
19,3.306878378105964e-05,3.3068783905415524e-05,3.306878395062637e-05,0.33359702127519997,3.30687837937686e-05,3.3068783742842126e-05,3.3068783697832286e-05,3.30687838702124e-05,3.306878402659745e-05,3.306878383012877e-05,3.306878387851095e-05,3.306878376320237e-05,3.3068783868838006e-05,3.3068783972047446e-05,3.3068783878729975e-05,3.3068783757781544e-05,3.306878373419286e-05,0.2888638822169777,0.3769769271824795,3.306878389108784e-05
20,2.9744200591532752e-05,2.9744200618890626e-05,0.4686846817518408,2.9744200627277583e-05,2.9744200591229162e-05,2.9744200604379542e-05,2.9744200555358767e-05,2.9744200487827544e-05,2.9744200499825925e-05,2.97442003477158e-05,2.9744200877731568e-05,2.9744200641027886e-05,2.974420073878005e-05,0.030192660677037055,2.974420063734411e-05,2.9744200695632996e-05,2.974420052912666e-05,0.22713593646908825,2.9744200531402368e-05,0.27351081389245885
21,1.5683814511746006e-05,1.5683814566898134e-05,0.999702007518862,1.5683814663857484e-05,1.5683814570999498e-05,1.568381454633305e-05,1.5683814568062774e-05,1.5683814576399187e-05,1.5683814619003098e-05,1.5683814628906804e-05,1.568381454745484e-05,1.5683814591034138e-05,1.5683814591941158e-05,1.5683814607971104e-05,1.568381459695091e-05,1.56838146322496e-05,1.568381464726989e-05,1.568381846937946e-05,1.56838146180407e-05,1.568381458345165e-05
22,1.9282684682693594e-05,1.9282684515892004e-05,0.405037555171829,0.18175327207909864,0.3628857896403057,1.9282684540824527e-05,0.012555621065283224,1.928268452284936e-05,1.9282684506673246e-05,1.928268460670643e-05,0.03023640368069609,1.928268458605122e-05,1.9282684508049095e-05,1.9282684604364246e-05,0.00369468729895822,1.9282684512714773e-05,1.9282684511764714e-05,0.0035859961645315205,1.928268457767373e-05,1.9282684621388317e-05
23,1.8288222767960737e-05,0.0890131749641323,1.828822268162933e-05,0.04109457965328026,1.828822279558402e-05,1.828822273462466e-05,0.02486338310134647,1.828822277703688e-05,1.8288222787116848e-05,1.8288222784796662e-05,1.8288222833041117e-05,1.8288222714978406e-05,1.8288222761543927e-05,1.8288222786099077e-05,1.828822279001312e-05,0.8144422475300935,1.8288222790949323e-05,1.8288222772890655e-05,0.030312291409639282,1.828822272983282e-05
24,0.0033974010723631575,3.130870446239308e-05,3.130870450906365e-05,3.130870455070984e-05,3.1308704605370285e-05,3.130870445173037e-05,3.130870440711983e-05,3.130870433334758e-05,0.3363615040377663,0.08636214782652378,3.130870421898837e-05,3.1308704544806724e-05,3.130870441409752e-05,0.21308565581596195,3.130870452718413e-05,0.10525848931898993,3.13087045115599e-05,3.1308704537463376e-05,0.2550964800659612,3.130870435967325e-05
25,3.229974241413703e-05,3.229974225039593e-05,0.031469554337635264,3.229974221531726e-05,3.229974228136933e-05,3.229974223185571e-05,3.229974223156799e-05,3.229974239165996e-05,0.08470367493795218,3.229974246241162e-05,3.229974212498824e-05,3.2299742451791795e-05,3.2299742540724495e-05,3.229974250250706e-05,0.10492601612772895,0.13351019371348097,3.2299742262700824e-05,0.6449060647479464,3.229974249668126e-05,3.22997423979559e-05
26,2.2232103712471005e-05,0.016126590364345796,0.043536928005829985,0.04853133905224171,0.011747434784855253,2.2232103878857562e-05,2.2232103582674142e-05,2.2232103560349623e-05,0.013529125891822345,0.054028959591337106,0.7746831758462028,2.2232103785852088e-05,2.2232103730161166e-05,2.223210359775537e-05,2.2232103726750062e-05,0.022254897339946615,2.2232103514894034e-05,2.223210366614855e-05,2.223210370136043e-05,0.015316995982960992
27,3.501400619840315e-05,3.5014007134927185e-05,3.501400636281085e-05,0.2392547855314301,0.05548911395755565,3.501400615696384e-05,3.501400655140769e-05,3.5014006200829123e-05,3.501400661124271e-05,0.09630426823295472,0.016643384675443462,0.016999119477575694,3.501400627473889e-05,3.50140063334606e-05,3.5014006215203415e-05,0.07518557014609197,0.04872220525399468,0.017172299711693702,0.04560348260743495,0.3882756303417851
28,0.0049051533573291495,0.03246835826052251,2.343017867308773e-05,0.0201082783199879,2.3430178692397685e-05,0.0115153638837871,0.12825381170323982,2.3430178480537676e-05,2.343017851370378e-05,2.3430178556035986e-05,2.343017856706404e-05,2.3430178523745043e-05,0.09812957189784277,2.3430178690546976e-05,2.3430178644174182e-05,2.3430178592529892e-05,2.3430178527700304e-05,2.3430178507054486e-05,0.7043148702557631,2.3430178559199362e-05
